book_date,open,high,low,close,volume,dividends,ticker,average_price,daily_return_percentage,growth,cumulative_growth,volatility_30days,dividend_yield_percentage,52week_high,52week_low,ma50d,ma200d,vwap
2022-11-09,52.067,52.1769,51.6981,51.8158,2479100,0.0,BNS.TO,51.9395,-0.7071,0.9929,0.2509,1.179,0.0784,69.3847,49.6022,52.4785,60.1034,49.2364
2022-11-10,52.7735,54.6653,52.593,54.1943,6081700,0.0,BNS.TO,53.5565,4.5903,1.0459,0.3083,1.4831,0.0749,69.3847,49.6022,52.4348,60.0496,49.2447
2022-11-11,54.3827,54.4455,53.4878,53.9117,2828000,0.0,BNS.TO,54.0569,-0.5215,0.9948,0.3015,1.4926,0.0753,69.3847,49.6022,52.3968,59.9924,49.2491
2022-11-14,53.9196,54.0138,53.5663,53.7547,4286700,0.0,BNS.TO,53.8136,-0.2912,0.9971,0.2977,1.3843,0.0755,69.3847,49.6022,52.3696,59.9311,49.2553
2022-11-15,54.3199,54.6025,53.7704,54.5946,2570500,0.0,BNS.TO,54.3219,1.5625,1.0156,0.318,1.4022,0.0744,69.3847,49.6022,52.3774,59.8732,49.2594
2022-11-16,54.4847,54.5946,53.7547,54.0138,2848100,0.0,BNS.TO,54.212,-1.0638,0.9894,0.304,1.419,0.0752,69.3847,49.6022,52.3733,59.8137,49.2639
2022-11-17,53.6684,54.1237,53.5899,54.0138,2099600,0.0,BNS.TO,53.849,0.0,1.0,0.304,1.4171,0.0752,69.3847,49.6022,52.38,59.7497,49.2669
2022-11-18,54.312,54.5004,53.9745,54.1943,3140700,0.0,BNS.TO,54.2453,0.3342,1.0033,0.3083,1.2884,0.0749,69.3847,49.6022,52.3869,59.6841,49.2719
2022-11-21,54.1943,55.1127,54.0766,55.097,2988200,0.0,BNS.TO,54.6202,1.6657,1.0167,0.3301,1.2591,0.0737,69.3847,49.6022,52.3862,59.62,49.277
2022-11-22,55.2305,55.6857,54.8929,55.3482,2706800,0.0,BNS.TO,55.2893,0.4559,1.0046,0.3363,1.2401,0.0734,69.3847,49.6022,52.3796,59.558,49.2821
2022-11-23,55.3482,55.7878,55.1677,55.6622,2625800,0.0,BNS.TO,55.4915,0.5673,1.0057,0.3439,1.2307,0.0729,69.3847,49.6022,52.3751,59.4957,49.2872
2022-11-24,55.7799,56.0939,55.6543,55.7564,2249000,0.0,BNS.TO,55.8211,0.1692,1.0017,0.3462,1.2234,0.0728,69.3847,49.6022,52.3962,59.4335,49.2919
2022-11-25,55.9291,56.1253,55.7956,56.0154,2884200,0.0,BNS.TO,55.9664,0.4645,1.0046,0.3524,1.2215,0.0725,69.3847,49.6022,52.4259,59.3689,49.298
2022-11-28,56.0076,56.3216,55.6308,56.0939,3672400,0.0,BNS.TO,56.0135,0.1401,1.0014,0.3542,1.2224,0.0724,69.3847,49.6022,52.4634,59.3062,49.3057
2022-11-29,55.7328,55.882,54.367,54.6888,5414300,0.0,BNS.TO,55.1676,-2.5049,0.975,0.3204,1.3663,0.0742,69.3847,49.6022,52.475,59.2397,49.3157
2022-11-30,54.7752,55.1991,53.7076,55.0892,6020400,0.0,BNS.TO,54.6928,0.7321,1.0073,0.33,1.3597,0.0737,69.3847,49.6022,52.4893,59.1753,49.3259
2022-12-01,55.1049,55.2697,54.4376,55.0735,2862900,0.0,BNS.TO,54.9714,-0.0285,0.9997,0.3296,1.3614,0.0737,69.3847,49.6022,52.5108,59.1131,49.3309
2022-12-02,54.681,54.7281,54.108,54.1158,4419400,0.0,BNS.TO,54.4082,-1.7389,0.9826,0.3065,1.4149,0.075,69.3847,49.6022,52.5265,59.0443,49.338
2022-12-05,54.0923,54.1472,53.1346,53.3387,7759100,0.0,BNS.TO,53.6782,-1.436,0.9856,0.2877,1.4311,0.0761,69.3847,49.6022,52.5319,58.9727,49.3485
2022-12-06,53.4643,53.794,53.1503,53.6448,3311400,0.0,BNS.TO,53.5133,0.5739,1.0057,0.295,1.4003,0.0757,69.3847,49.6022,52.553,58.9052,49.3528
2022-12-07,53.5977,53.6841,53.1738,53.3544,3141200,0.0,BNS.TO,53.4525,-0.5413,0.9946,0.288,1.4057,0.0761,69.3847,49.6022,52.5972,58.8368,49.3568
2022-12-08,53.4407,53.6527,53.0639,53.4878,4220500,0.0,BNS.TO,53.4113,0.25,1.0025,0.2912,1.4047,0.0759,69.3847,49.6022,52.652,58.7698,49.3621
2022-12-09,53.5585,54.0452,53.4957,53.896,2337500,0.0,BNS.TO,53.7489,0.7632,1.0076,0.3011,1.3984,0.0753,69.3847,49.6022,52.7112,58.7073,49.3653
2022-12-12,53.8411,53.8882,52.907,53.5271,8467800,0.0,BNS.TO,53.5409,-0.6845,0.9932,0.2922,1.0044,0.0758,69.3847,49.6022,52.7768,58.6509,49.3763
2022-12-13,54.2178,54.3591,52.852,53.0953,5284000,0.0,BNS.TO,53.6311,-0.8067,0.9919,0.2817,1.0125,0.0765,69.3847,49.6022,52.8397,58.5819,49.3833
2022-12-14,53.0875,53.3387,52.1848,52.2947,5126400,0.0,BNS.TO,52.7264,-1.5079,0.9849,0.2624,1.0577,0.0776,69.3847,49.6022,52.8557,58.5083,49.3886
2022-12-15,51.965,52.122,51.078,51.4155,10736800,0.0,BNS.TO,51.6451,-1.6812,0.9832,0.2412,1.038,0.079,69.3847,49.6022,52.8309,58.4339,49.396
2022-12-16,51.0623,51.5882,51.0073,51.2114,11494100,0.0,BNS.TO,51.2173,-0.397,0.996,0.2362,1.0232,0.0793,69.3847,49.6022,52.8106,58.35,49.4025
2022-12-19,51.2742,51.4783,50.2852,50.6148,9698700,0.0,BNS.TO,50.9131,-1.165,0.9884,0.2219,1.0404,0.0802,69.3847,49.6022,52.7975,58.2609,49.4069
2022-12-20,50.9524,51.7687,50.6384,51.2507,5032700,0.0,BNS.TO,51.1526,1.2564,1.0126,0.2373,1.0844,0.0792,69.3847,49.6022,52.8041,58.1772,49.4096
2022-12-21,51.5882,52.1141,51.5647,51.6981,1713200,0.0,BNS.TO,51.7413,0.873,1.0087,0.248,1.0296,0.0785,69.3847,49.6022,52.8318,58.0995,49.4109
2022-12-22,51.4469,51.6903,50.9602,51.6667,5739000,0.0,BNS.TO,51.441,-0.0607,0.9994,0.2473,1.0177,0.0786,69.3847,49.6022,52.8594,58.0278,49.4144
2022-12-23,51.7609,52.122,51.6902,52.1063,3687900,0.0,BNS.TO,51.9199,0.8508,1.0085,0.2579,1.031,0.0779,69.3847,49.6022,52.8672,57.9504,49.4172
2022-12-28,52.1848,52.3418,51.2742,51.3684,13099800,0.0,BNS.TO,51.7923,-1.4161,0.9858,0.24,1.0522,0.079,69.3847,49.6022,52.8668,57.8712,49.4267
2022-12-29,51.494,52.3339,51.3841,52.3025,9330200,0.0,BNS.TO,51.8786,1.8184,1.0182,0.2626,1.1392,0.0776,69.3847,49.6022,52.8739,57.7978,49.4336
2022-12-30,52.2005,52.2868,51.6275,52.0749,4108200,0.0,BNS.TO,52.0474,-0.4352,0.9956,0.257,1.1351,0.078,69.3847,49.6022,52.8708,57.7209,49.4368
2023-01-03,53.5261,53.7288,52.6502,52.8692,6490400,1.03,BNS.TO,53.1936,1.5253,1.0153,0.2763,1.0919,0.0963,69.3847,49.6022,52.9087,57.6503,49.4442
2023-01-04,53.0962,54.1181,53.0557,53.8586,8879300,0.0,BNS.TO,53.5322,1.8714,1.0187,0.3001,1.1605,0.0945,69.3847,49.6022,52.9804,57.5813,49.4551
2023-01-05,53.8505,53.9802,53.5261,53.9478,3517700,0.0,BNS.TO,53.8262,0.1656,1.0017,0.3024,1.1618,0.0758,69.3847,49.6022,53.0401,57.5128,49.4597
